Date,Open,High,Low,Close,Adj Close,Volume
2016-07-07,14235.299805,14259.099609,14103.000000,14134.500000,14134.500000,205373900
2016-07-08,14152.799805,14327.799805,14152.799805,14259.799805,14259.799805,202716700
2016-07-11,14277.200195,14415.500000,14277.200195,14361.900391,14361.900391,209798400
2016-07-12,14387.299805,14488.000000,14387.299805,14477.700195,14477.700195,246935900
2016-07-13,14484.900391,14535.700195,14419.299805,14493.799805,14493.799805,212665200
2016-07-14,14518.599609,14558.099609,14494.900391,14514.500000,14514.500000,391808800
2016-07-15,14526.599609,14531.700195,14482.400391,14482.400391,14482.400391,150476200
2016-07-18,14485.900391,14534.799805,14482.200195,14532.400391,14532.400391,130542800
2016-07-19,14530.500000,14536.599609,14499.799805,14524.599609,14524.599609,145410100
2016-07-20,14508.299805,14567.400391,14484.599609,14533.599609,14533.599609,194105500
2016-07-21,14541.400391,14596.299805,14531.099609,14565.799805,14565.799805,156964900
2016-07-22,14573.500000,14605.299805,14546.599609,14600.700195,14600.700195,137583900
2016-07-25,14590.900391,14590.900391,14472.200195,14498.099609,14498.099609,155254500
2016-07-26,14495.799805,14564.900391,14491.700195,14550.000000,14550.000000,165278900
2016-07-27,14571.400391,14609.000000,14460.200195,14546.500000,14546.500000,192825600
2016-07-28,14548.799805,14571.599609,14499.500000,14552.700195,14552.700195,199156800
2016-07-29,14535.599609,14591.599609,14498.700195,14582.700195,14582.700195,186151000
2016-08-02,14555.200195,14559.500000,14428.200195,14477.000000,14477.000000,198378600
2016-08-03,14477.500000,14523.900391,14439.799805,14512.099609,14512.099609,178762700
2016-08-04,14502.799805,14539.900391,14469.599609,14528.799805,14528.799805,187436400
2016-08-05,14559.599609,14651.400391,14559.599609,14648.799805,14648.799805,188564500
2016-08-08,14663.500000,14783.200195,14663.500000,14755.599609,14755.599609,178590800
2016-08-09,14773.400391,14835.200195,14773.400391,14801.200195,14801.200195,170399600
2016-08-10,14820.900391,14846.299805,14751.400391,14775.000000,14775.000000,188370100
2016-08-11,14794.299805,14855.700195,14792.500000,14796.099609,14796.099609,187329900
2016-08-12,14799.000000,14799.000000,14703.599609,14747.500000,14747.500000,187457600
2016-08-15,14770.599609,14803.000000,14767.900391,14777.000000,14777.000000,149004800
2016-08-16,14765.200195,14765.200195,14688.799805,14703.400391,14703.400391,148229600
2016-08-17,14695.900391,14701.799805,14609.700195,14697.599609,14697.599609,175492600
2016-08-18,14710.400391,14712.700195,14665.900391,14695.700195,14695.700195,149238300
2016-08-19,14679.700195,14700.099609,14633.900391,14687.500000,14687.500000,134940000
2016-08-22,14642.400391,14748.200195,14616.900391,14748.200195,14748.200195,157517700
2016-08-23,14774.400391,14796.599609,14752.700195,14764.799805,14764.799805,153961400
2016-08-24,14749.799805,14757.799805,14618.400391,14626.200195,14626.200195,181074800
2016-08-25,14615.900391,14677.700195,14579.599609,14630.700195,14630.700195,160458200
2016-08-26,14662.500000,14746.200195,14596.900391,14639.900391,14639.900391,174591400
2016-08-29,14624.799805,14707.900391,14616.200195,14682.000000,14682.000000,136914200
2016-08-30,14703.599609,14779.599609,14659.000000,14684.900391,14684.900391,181535700
2016-08-31,14653.700195,14666.599609,14543.200195,14598.000000,14598.000000,239636100
2016-09-01,14573.299805,14705.299805,14571.099609,14683.900391,14683.900391,218685400
2016-09-02,14736.200195,14841.400391,14736.200195,14795.700195,14795.700195,174034400
2016-09-06,14821.599609,14821.599609,14770.200195,14813.000000,14813.000000,209938700
2016-09-07,14800.299805,14806.599609,14736.099609,14796.799805,14796.799805,187921700
2016-09-08,14798.299805,14823.000000,14746.900391,14803.299805,14803.299805,199097400
2016-09-09,14717.200195,14717.200195,14502.900391,14540.000000,14540.000000,202109000
2016-09-12,14470.700195,14628.299805,14457.400391,14597.099609,14597.099609,202210600
2016-09-13,14500.700195,14500.700195,14319.099609,14349.099609,14349.099609,214211600
2016-09-14,14346.900391,14455.799805,14342.900391,14366.500000,14366.500000,196523100
2016-09-15,14382.900391,14529.799805,14382.900391,14503.700195,14503.700195,189998700
2016-09-16,14471.500000,14471.500000,14387.500000,14450.700195,14450.700195,462318200
2016-09-19,14512.200195,14557.500000,14472.599609,14496.200195,14496.200195,166805200
2016-09-20,14555.200195,14573.299805,14514.500000,14522.000000,14522.000000,179849200
2016-09-21,14597.200195,14720.799805,14595.000000,14710.799805,14710.799805,202742600
2016-09-22,14804.700195,14841.200195,14783.400391,14797.200195,14797.200195,195533500
2016-09-23,14798.099609,14798.099609,14673.099609,14697.900391,14697.900391,178274100
2016-09-26,14653.000000,14664.700195,14611.799805,14619.500000,14619.500000,156349500
2016-09-27,14569.400391,14599.099609,14518.400391,14558.000000,14558.000000,183235400
2016-09-28,14606.500000,14740.099609,14574.500000,14731.400391,14731.400391,230927200
2016-09-29,14721.700195,14815.799805,14708.400391,14754.599609,14754.599609,217299400
2016-09-30,14798.500000,14821.799805,14725.900391,14725.900391,14725.900391,220198400
